time,first encoder,second encoder,third encoder,fourth encoder,fifth encoder,upper torque sensor,lower torque sensor
118.163001,873784.944000,873782.082000,291260.574000,291260.466000,72815.040000,1.600804,8.841858
118.164001,873804.312000,873801.432000,291267.018000,291266.910000,72816.642000,1.698094,8.838501
118.165001,873823.680000,873820.782000,291273.462000,291273.354000,72818.262000,1.954686,8.327942
118.166001,873843.030000,873840.150000,291279.906000,291279.798000,72819.882000,1.729710,8.069153
118.167001,873862.380000,873859.446000,291286.350000,291286.242000,72821.502000,1.808079,7.504272
118.168001,873881.730000,873878.796000,291292.794000,291292.704000,72823.122000,1.811864,6.543579
118.169001,873901.080000,873898.164000,291299.238000,291299.166000,72824.760000,1.484593,6.141357
118.170001,873920.448000,873917.514000,291305.700000,291305.628000,72826.380000,2.045750,5.225220
118.171001,873939.816000,873936.918000,291312.162000,291312.090000,72828.000000,1.599583,4.819946
118.172001,873959.184000,873956.322000,291318.642000,291318.552000,72829.620000,1.699437,5.113525
118.173001,873978.552000,873975.762000,291325.122000,291325.032000,72831.240000,1.674168,5.180664
118.174001,873997.938000,873995.220000,291331.620000,291331.530000,72832.860000,1.559178,4.880676
118.175001,874017.306000,874014.642000,291338.118000,291338.046000,72834.480000,1.890233,5.266724
118.176001,874036.692000,874034.136000,291344.616000,291344.526000,72836.100000,1.233006,6.141357
118.177001,874056.078000,874053.594000,291351.096000,291351.006000,72837.702000,1.736058,7.146912
118.178001,874075.464000,874073.034000,291357.594000,291357.468000,72839.322000,1.705785,7.635193
118.179001,874094.850000,874092.456000,291364.074000,291363.948000,72840.924000,1.459325,7.832947
118.180001,874114.236000,874111.842000,291370.518000,291370.410000,72842.544000,1.450413,8.369446
118.181001,874133.604000,874131.138000,291376.962000,291376.836000,72844.164000,1.698094,8.599243
118.182001,874152.972000,874150.452000,291383.388000,291383.280000,72845.766000,1.585667,8.608704
118.183001,874172.340000,874169.730000,291389.796000,291389.688000,72847.368000,1.506078,8.758850
118.184001,874191.690000,874188.972000,291396.204000,291396.096000,72848.970000,1.694310,8.675842
118.185001,874211.058000,874208.160000,291402.576000,291402.486000,72850.590000,2.005223,8.305359
118.186001,874230.390000,874227.348000,291408.984000,291408.894000,72852.192000,1.873875,6.817932
118.187001,874249.740000,874246.590000,291415.374000,291415.320000,72853.812000,1.808079,6.457214
118.188001,874269.108000,874265.814000,291421.800000,291421.710000,72855.414000,2.151829,5.876465
118.189001,874288.458000,874285.110000,291428.208000,291428.136000,72857.016000,1.861180,4.966736
118.190001,874307.808000,874304.442000,291434.652000,291434.598000,72858.636000,1.920628,5.388184
118.191001,874327.176000,874323.810000,291441.114000,291441.042000,72860.238000,2.030492,5.764771
118.192001,874346.544000,874343.214000,291447.594000,291447.504000,72861.858000,2.086156,5.202942
118.193001,874365.930000,874362.672000,291454.092000,291454.002000,72863.478000,1.944554,5.892334
118.194001,874385.298000,874382.148000,291460.590000,291460.500000,72865.080000,1.916844,7.283936
118.195001,874404.684000,874401.642000,291467.106000,291466.998000,72866.700000,2.191014,7.807617
118.196001,874424.070000,874421.136000,291473.604000,291473.478000,72868.302000,1.756322,8.158569
118.197001,874443.438000,874440.630000,291480.102000,291479.994000,72869.922000,1.680394,8.547974
118.198001,874462.824000,874460.052000,291486.600000,291486.492000,72871.542000,1.901585,8.995056
118.199001,874482.192000,874479.510000,291493.062000,291492.954000,72873.162000,1.531346,9.282227
118.200001,874501.560000,874498.896000,291499.524000,291499.416000,72874.782000,1.694310,9.323730
